"","YEAR","POS","PLAYER","YDS.DRV","DRV.ACC","GIR","PP.GIR","EAGLE","BIRDIE","PARS","BOGEY","DBL.","TO.PAR","TO.PAR_","POS_","Marks","PTS"
"1",2020,"1","United StatesDaniel Berger",306,62.5,77.8,1.643,0,22,44,5,1,"-15",-15,1,72,114.5
"2",2020,"2","United StatesCollin Morikawa",296.4,64.3,72.2,1.596,0,22,43,7,0,"-15",-15,2,72,104
"3",2020,"T3","United StatesJason Kokrak",311.2,67.9,76.4,1.673,0,21,45,5,1,"-14",-14,3,72,100
"4",2020,"T3","United StatesBryson DeChambeau",340.3,58.9,79.2,1.737,1,16,51,4,0,"-14",-14,3,72,97.5
"5",2020,"T3","EnglandJustin Rose",298.2,67.9,76.4,1.673,0,23,41,7,1,"-14",-14,3,72,103
"6",2020,"T3","United StatesXander Schauffele",309.8,67.9,80.6,1.707,0,20,46,6,0,"-14",-14,3,72,98
"7",2020,"T7","United StatesBubba Watson",322.1,55.4,70.8,1.647,1,19,44,8,0,"-13",-13,7,72,93
"8",2020,"T7","United StatesPatrick Reed",306.8,46.4,63.9,1.587,1,20,44,6,0,"-13",-13,7,71,97
"9",2020,"9","United StatesGary Woodland",306.1,62.5,70.8,1.686,0,18,48,6,0,"-12",-12,9,72,83
"10",2020,"T10","South KoreaSungjae Im",303.3,67.9,69.4,1.72,0,18,47,7,0,"-11",-11,10,72,81
"11",2020,"T10","United StatesJ.T. Poston",295.1,73.2,73.6,1.698,0,16,52,3,1,"-11",-11,10,72,78.5
"12",2020,"T10","United StatesJordan Spieth",314.3,57.1,66.7,1.625,0,22,40,9,1,"-11",-11,10,72,87.5
"13",2020,"T10","United StatesJustin Thomas",308.6,41.1,69.4,1.68,0,16,51,5,0,"-11",-11,10,72,78
"14",2020,"T14","United StatesPatrick Rodgers",298.4,58.9,72.2,1.615,0,20,44,6,2,"-10",-10,14,72,83
"15",2020,"T14","SlovakiaRory Sabbatini",296.5,62.5,70.8,1.667,0,19,44,9,0,"-10",-10,14,72,80.5
"16",2020,"T14","United StatesPeter Uihlein",317.9,46.4,72.2,1.635,2,18,40,12,0,"-10",-10,14,72,90
"17",2020,"T14","United StatesCameron Champ",330.2,55.4,75,1.704,1,17,46,7,1,"-10",-10,14,72,83.5
"18",2020,"T14","MexicoAbraham Ancer",305.3,60.7,68.1,1.673,1,16,47,8,0,"-10",-10,14,72,81.5
"19",2020,"T19","United StatesJoel Dahmen",297,53.6,72.2,1.635,0,20,42,9,1,"-9",-9,19,72,80.5
"20",2020,"T19","CanadaCorey Conners",313.6,62.5,77.8,1.696,0,19,44,8,1,"-9",-9,19,72,79
"21",2020,"T19","United StatesHarold Varner III",303.5,76.8,80.6,1.707,0,17,49,5,0,"-9",-9,19,71,78
"22",2020,"T19","South AfricaBranden Grace",285.7,39.3,68.1,1.653,0,18,45,9,0,"-9",-9,19,72,77
"23",2020,"T23","United StatesLucas Glover",297.4,80.4,75,1.685,0,21,42,5,4,"-8",-8,23,72,81.5
"24",2020,"T23","NorwayViktor Hovland",298.6,53.6,73.6,1.736,0,15,50,7,0,"-8",-8,23,72,70.5
"25",2020,"T23","United StatesBrian Harman",287.2,55.4,70.8,1.725,0,16,50,5,0,"-8",-8,23,71,74.5
"26",2020,"T23","SpainRafael Cabrera Bello",293,58.9,63.9,1.717,0,15,50,7,0,"-8",-8,23,72,70.5
"27",2020,"T23","United StatesTony Finau",307.7,58.9,73.6,1.736,0,18,44,10,0,"-8",-8,23,72,75
"28",2020,"T23","United StatesChesson Hadley",293.4,73.2,72.2,1.673,1,17,45,7,2,"-8",-8,23,72,80
"29",2020,"T29","United StatesBud Cauley",291,69.6,68.1,1.776,0,13,53,6,0,"-7",-7,29,72,65.5
"30",2020,"T29","United StatesKevin Kisner",291.8,67.9,75,1.759,0,14,51,7,0,"-7",-7,29,72,67
"31",2020,"T29","EnglandIan Poulter",291.7,51.8,65.3,1.681,0,15,49,8,0,"-7",-7,29,72,68.5
"32",2020,"T32","ChileJoaquin Niemann",310.3,51.8,69.4,1.68,1,16,44,10,1,"-6",-6,32,72,74
"33",2020,"T32","United StatesBrooks Koepka",319.2,46.4,63.9,1.739,0,15,49,7,1,"-6",-6,32,72,67
"34",2020,"T32","EnglandMatt Fitzpatrick",292.7,64.3,69.4,1.76,0,16,47,8,1,"-6",-6,32,72,68.5
"35",2020,"T32","United StatesKeegan Bradley",297.1,55.4,65.3,1.766,0,14,50,8,0,"-6",-6,32,72,65
"36",2020,"T32","United StatesMaverick McNealy",301,62.5,68.1,1.755,2,12,48,10,0,"-6",-6,32,72,73
"37",2020,"T32","Northern IrelandRory McIlroy",315.4,60.7,72.2,1.75,1,15,46,9,1,"-6",-6,32,72,72.5
"38",2020,"T38","United StatesBronson Burgoon",294.8,55.4,70.8,1.784,0,15,47,10,0,"-5",-5,38,72,65.5
"39",2020,"T38","United StatesHarry Higgs",303.7,42.9,61.1,1.636,0,17,45,9,0,"-5",-5,38,71,71
"40",2020,"T38","United StatesBilly Horschel",311.3,69.6,75,1.778,0,15,48,8,1,"-5",-5,38,72,66
"41",2020,"T38","United StatesTyler Duncan",297.6,60.7,65.3,1.681,1,17,41,12,1,"-5",-5,38,72,74.5
"42",2020,"T38","AustraliaMatt Jones",298.7,57.1,70.8,1.784,0,13,51,8,0,"-5",-5,38,72,62.5
"43",2020,"T43","United StatesBrian Stuard",283.1,58.9,62.5,1.733,0,15,47,9,1,"-4",-4,43,72,64
"44",2020,"T43","United StatesAdam Schenk",299,75,69.4,1.8,0,14,49,8,1,"-4",-4,43,72,62.5
"45",2020,"T43","United StatesTalor Gooch",281.1,44.6,70.8,1.745,0,16,45,10,1,"-4",-4,43,72,65.5
"46",2020,"T43","United StatesZach Johnson",295.8,57.1,70.8,1.804,0,11,55,5,1,"-4",-4,43,72,58
"47",2020,"T43","CanadaAdam Hadwin",296.4,66.1,75,1.722,1,17,40,13,1,"-4",-4,43,72,72.5
"48",2020,"T43","United StatesMark Hubbard",297.4,48.2,66.7,1.792,0,12,53,6,1,"-4",-4,43,72,59.5
"49",2020,"T49","United StatesPat Perez",287.6,48.2,63.9,1.696,0,15,45,12,0,"-3",-3,49,72,62.5
"50",2020,"T49","United StatesMatthew NeSmith",309.5,53.6,62.5,1.733,2,11,47,12,0,"-3",-3,49,72,67.5
"51",2020,"T49","United StatesAndrew Landry",293.5,58.9,66.7,1.792,0,10,56,5,1,"-3",-3,49,72,55.5
"52",2020,"T49","United StatesJim Furyk",289.7,75,76.4,1.782,0,13,51,6,2,"-3",-3,49,72,60.5
"53",2020,"T49","United StatesCharles Howell III",298.7,53.6,69.4,1.74,0,15,48,7,1,"-3",-3,49,71,65.5
"54",2020,"54","United StatesMatthew Wolff",339.8,58.9,68.1,1.714,0,15,45,11,1,"-2",-2,54,72,61
"55",2020,"T55","United StatesZac Blair",279.1,53.6,69.4,1.86,0,11,52,8,1,"-1",-1,55,72,54
"56",2020,"T55","South AfricaLouis Oosthuizen",298.4,58.9,69.4,1.82,0,11,51,10,0,"-1",-1,55,72,53.5
"57",2020,"T55","United StatesScottie Scheffler",310.6,60.7,72.2,1.846,0,12,51,8,0,"-1",-1,55,71,57.5
"58",2020,"T58","United StatesDoc Redman",301.2,51.8,69.4,1.74,0,15,43,13,1,"E",0,58,72,59
"59",2020,"T58","United StatesRichy Werenski",296.2,46.4,61.1,1.727,0,12,49,10,1,"E",0,58,72,54.5
"60",2020,"T60","VenezuelaJhonattan Vegas",316,60.7,62.5,1.733,0,14,43,15,0,"1",1,60,72,56
"61",2020,"T60","South KoreaByeong-Hun An",305.6,57.1,70.8,1.745,0,14,46,11,0,"1",1,60,71,59.5
"62",2020,"T60","United StatesChris Kirk",287.1,57.1,68.1,1.857,0,9,55,6,2,"1",1,60,72,49.5
"63",2020,"T60","SwedenAlex Noren",310.3,58.9,63.9,1.783,1,11,47,12,1,"1",1,60,72,57.5
"64",2020,"T64","United StatesScott Piercy",304.5,53.6,63.9,1.826,0,11,48,13,0,"2",2,64,72,50.5
"65",2020,"T64","United StatesKeith Mitchell",315.9,44.6,62.5,1.822,0,10,53,6,3,"2",2,64,72,50.5
"66",2020,"66","United StatesDenny McCarthy",282.9,53.6,58.3,1.738,0,11,49,10,2,"3",3,66,72,50.5
"67",2020,"67","United StatesJason Dufner",288.5,62.5,63.9,1.804,0,13,43,14,2,"5",5,67,72,51.5
"68",2019,"1","United StatesKevin Na",291.5,60.7,77.8,1.679,1,17,49,4,1,"-13",-13,1,72,110.5
"69",2019,"2","United StatesTony Finau",322.7,42.9,66.7,1.708,0,15,51,6,0,"-9",-9,2,72,87.5
"70",2019,"T3","United StatesAndrew Putnam",295.9,62.5,70.8,1.686,0,20,40,12,0,"-8",-8,3,72,92
"71",2019,"T3","Chinese TaipeiC.T. Pan",295.9,51.8,65.3,1.723,0,14,52,6,0,"-8",-8,3,72,83
"72",2019,"5","SwedenJonas Blixt",302.2,62.5,66.7,1.771,1,12,52,7,0,"-7",-7,5,72,80.5
"73",2019,"T6","SlovakiaRory Sabbatini",292.2,64.3,65.3,1.787,0,17,44,11,0,"-6",-6,6,72,79.5
"74",2019,"T6","United StatesRyan Palmer",302.5,50,61.1,1.795,0,14,50,8,0,"-6",-6,6,72,75
"75",2019,"T8","ScotlandRussell Knox",294.6,69.6,72.2,1.75,0,15,50,5,1,"-5",-5,8,71,75.5
"76",2019,"T8","EnglandTyrrell Hatton",295.5,50,69.4,1.78,0,13,51,8,0,"-5",-5,8,72,69.5
