Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Dustin Johnson (16849522),Dustin Johnson,16849522,G,11500,Masters Tournament,Golf,92.75
G,Jon Rahm (16849523),Jon Rahm,16849523,G,11000,Masters Tournament,Golf,86.55
G,Bryson DeChambeau (16849524),Bryson DeChambeau,16849524,G,10800,Masters Tournament,Golf,92.28
G,Justin Thomas (16849525),Justin Thomas,16849525,G,10600,Masters Tournament,Golf,89.96
G,Rory McIlroy (16849526),Rory McIlroy,16849526,G,10200,Masters Tournament,Golf,75.73
G,Xander Schauffele (16849527),Xander Schauffele,16849527,G,10000,Masters Tournament,Golf,89.45
G,Patrick Cantlay (16849528),Patrick Cantlay,16849528,G,9800,Masters Tournament,Golf,85.8
G,Collin Morikawa (16849529),Collin Morikawa,16849529,G,9600,Masters Tournament,Golf,73.41
G,Jordan Spieth (16849530),Jordan Spieth,16849530,G,9400,Masters Tournament,Golf,66.67
G,Patrick Reed (16849531),Patrick Reed,16849531,G,9300,Masters Tournament,Golf,77.35
G,Brooks Koepka (16849532),Brooks Koepka,16849532,G,9200,Masters Tournament,Golf,73.61
G,Tony Finau (16849533),Tony Finau,16849533,G,9100,Masters Tournament,Golf,87.5
G,Webb Simpson (16849534),Webb Simpson,16849534,G,9000,Masters Tournament,Golf,82.95
G,Tyrrell Hatton (16849535),Tyrrell Hatton,16849535,G,8900,Masters Tournament,Golf,75.17
G,Lee Westwood (16849536),Lee Westwood,16849536,G,8800,Masters Tournament,Golf,56.64
G,Viktor Hovland (16849537),Viktor Hovland,16849537,G,8700,Masters Tournament,Golf,84.29
G,Sungjae Im (16849538),Sungjae Im,16849538,G,8600,Masters Tournament,Golf,79.44
G,Daniel Berger (16849539),Daniel Berger,16849539,G,8500,Masters Tournament,Golf,84.6
G,Scottie Scheffler (16849540),Scottie Scheffler,16849540,G,8400,Masters Tournament,Golf,68.73
G,Hideki Matsuyama (16849541),Hideki Matsuyama,16849541,G,8300,Masters Tournament,Golf,67.64
G,Cameron Smith (16849542),Cameron Smith,16849542,G,8200,Masters Tournament,Golf,84.41
G,Matthew Fitzpatrick (16849543),Matthew Fitzpatrick,16849543,G,8100,Masters Tournament,Golf,66.41
G,Tommy Fleetwood (16849544),Tommy Fleetwood,16849544,G,8000,Masters Tournament,Golf,64.41
G,Sergio Garcia (16849545),Sergio Garcia,16849545,G,7900,Masters Tournament,Golf,71
G,Bubba Watson (16849546),Bubba Watson,16849546,G,7800,Masters Tournament,Golf,59.28
G,Paul Casey (16849547),Paul Casey,16849547,G,7700,Masters Tournament,Golf,79.41
G,Adam Scott (16849548),Adam Scott,16849548,G,7600,Masters Tournament,Golf,72.35
G,Jason Day (16849549),Jason Day,16849549,G,7500,Masters Tournament,Golf,56.77
G,Louis Oosthuizen (16849550),Louis Oosthuizen,16849550,G,7500,Masters Tournament,Golf,74.61
G,Joaquin Niemann (16849551),Joaquin Niemann,16849551,G,7400,Masters Tournament,Golf,87.17
G,Abraham Ancer (16849552),Abraham Ancer,16849552,G,7400,Masters Tournament,Golf,74.54
G,Will Zalatoris (16849553),Will Zalatoris,16849553,G,7300,Masters Tournament,Golf,88.57
G,Harris English (16849554),Harris English,16849554,G,7300,Masters Tournament,Golf,74.54
G,Justin Rose (16849555),Justin Rose,16849555,G,7200,Masters Tournament,Golf,62.5
G,Billy Horschel (16849556),Billy Horschel,16849556,G,7200,Masters Tournament,Golf,70.58
G,Matthew Wolff (16849557),Matthew Wolff,16849557,G,7100,Masters Tournament,Golf,62.65
G,Max Homa (16849558),Max Homa,16849558,G,7100,Masters Tournament,Golf,67.04
G,Francesco Molinari (16849559),Francesco Molinari,16849559,G,7000,Masters Tournament,Golf,52.61
G,Victor Perez (16849560),Victor Perez,16849560,G,7000,Masters Tournament,Golf,56.56
G,Shane Lowry (16849561),Shane Lowry,16849561,G,7000,Masters Tournament,Golf,57.65
G,Corey Conners (16849562),Corey Conners,16849562,G,6900,Masters Tournament,Golf,73.04
G,Jason Kokrak (16849563),Jason Kokrak,16849563,G,6900,Masters Tournament,Golf,69.89
G,Marc Leishman (16849564),Marc Leishman,16849564,G,6900,Masters Tournament,Golf,57.12
G,Brian Harman (16849565),Brian Harman,16849565,G,6800,Masters Tournament,Golf,75.64
G,Matt Kuchar (16849566),Matt Kuchar,16849566,G,6800,Masters Tournament,Golf,51.59
G,Ian Poulter (16849567),Ian Poulter,16849567,G,6800,Masters Tournament,Golf,48
G,Gary Woodland (16849568),Gary Woodland,16849568,G,6800,Masters Tournament,Golf,40.86
G,Christiaan Bezuidenhout (16849569),Christiaan Bezuidenhout,16849569,G,6700,Masters Tournament,Golf,60.62
G,Kevin Kisner (16849570),Kevin Kisner,16849570,G,6700,Masters Tournament,Golf,65.7
G,Dylan Frittelli (16849571),Dylan Frittelli,16849571,G,6700,Masters Tournament,Golf,49.12
G,Si Woo Kim (16849572),Si Woo Kim,16849572,G,6700,Masters Tournament,Golf,61.37
G,Sebastian Munoz (16849573),Sebastian Munoz,16849573,G,6600,Masters Tournament,Golf,62.93
G,Phil Mickelson (16849574),Phil Mickelson,16849574,G,6600,Masters Tournament,Golf,61.77
G,Danny Willett (16849575),Danny Willett,16849575,G,6600,Masters Tournament,Golf,52.65
G,Cameron Champ (16849576),Cameron Champ,16849576,G,6600,Masters Tournament,Golf,49.88
G,Carlos Ortiz (16849577),Carlos Ortiz,16849577,G,6500,Masters Tournament,Golf,74.21
G,Ryan Palmer (16849578),Ryan Palmer,16849578,G,6500,Masters Tournament,Golf,84.4
G,Robert Macintyre (16849579),Robert Macintyre,16849579,G,6500,Masters Tournament,Golf,58.29
G,Kevin Na (16849580),Kevin Na,16849580,G,6500,Masters Tournament,Golf,66.96
G,Matt Wallace (16849581),Matt Wallace,16849581,G,6400,Masters Tournament,Golf,52.61
G,Bernd Wiesberger (16849582),Bernd Wiesberger,16849582,G,6400,Masters Tournament,Golf,62
G,C.T. Pan (16849583),C.T. Pan,16849583,G,6400,Masters Tournament,Golf,54.53
G,Lanto Griffin (16849584),Lanto Griffin,16849584,G,6400,Masters Tournament,Golf,66.54
G,Matt Jones (16849585),Matt Jones,16849585,G,6300,Masters Tournament,Golf,69.91
G,Zach Johnson (16849586),Zach Johnson,16849586,G,6300,Masters Tournament,Golf,70.38
G,Martin Laird (16849587),Martin Laird,16849587,G,6300,Masters Tournament,Golf,57.93
G,Mackenzie Hughes (16849588),Mackenzie Hughes,16849588,G,6300,Masters Tournament,Golf,61.19
G,Charl Schwartzel (16849589),Charl Schwartzel,16849589,G,6300,Masters Tournament,Golf,50.81
G,Hudson Swafford (16849590),Hudson Swafford,16849590,G,6200,Masters Tournament,Golf,47.26
G,Brendon Todd (16849591),Brendon Todd,16849591,G,6200,Masters Tournament,Golf,66.71
G,Tyler Strafaci (16849592),Tyler Strafaci,16849592,G,6200,Masters Tournament,Golf,10
G,Brian Gay (16849593),Brian Gay,16849593,G,6200,Masters Tournament,Golf,49.83
G,Jimmy Walker (16849594),Jimmy Walker,16849594,G,6200,Masters Tournament,Golf,35.15
G,Henrik Stenson (16849595),Henrik Stenson,16849595,G,6200,Masters Tournament,Golf,31.58
G,Michael Thompson (16849596),Michael Thompson,16849596,G,6100,Masters Tournament,Golf,62.42
G,Bernhard Langer (16849597),Bernhard Langer,16849597,G,6100,Masters Tournament,Golf,76.5
G,Fred Couples (16849598),Fred Couples,16849598,G,6100,Masters Tournament,Golf,67.5
G,Vijay Singh (16849599),Vijay Singh,16849599,G,6100,Masters Tournament,Golf,51.73
G,Stewart Cink (16849600),Stewart Cink,16849600,G,6100,Masters Tournament,Golf,65.92
G,Ollie Osborne (16849601),Ollie Osborne,16849601,G,6100,Masters Tournament,Golf,0
G,Mike Weir (16849602),Mike Weir,16849602,G,6100,Masters Tournament,Golf,58.18
G,Jim Herman (16849603),Jim Herman,16849603,G,6000,Masters Tournament,Golf,43.08
G,Jose Maria Olazabal (16849604),Jose Maria Olazabal,16849604,G,6000,Masters Tournament,Golf,56.17
G,Robert Streb (16849605),Robert Streb,16849605,G,6000,Masters Tournament,Golf,54.93
G,Joe Long (16849606),Joe Long,16849606,G,6000,Masters Tournament,Golf,0
G,Larry Mize (16849607),Larry Mize,16849607,G,6000,Masters Tournament,Golf,41.6
G,Angel Cabrera (16849608),Angel Cabrera,16849608,G,6000,Masters Tournament,Golf,38.83
G,Trevor Immelman (16849609),Trevor Immelman,16849609,G,6000,Masters Tournament,Golf,0
G,Sandy Lyle (16849610),Sandy Lyle,16849610,G,6000,Masters Tournament,Golf,38.08
