Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Jordan Spieth (17818644),Jordan Spieth,17818644,G,11200,Charles Schwab Challenge,Golf,73.62
G,Justin Thomas (17818645),Justin Thomas,17818645,G,11000,Charles Schwab Challenge,Golf,82.07
G,Collin Morikawa (17818646),Collin Morikawa,17818646,G,10500,Charles Schwab Challenge,Golf,74.18
G,Patrick Reed (17818647),Patrick Reed,17818647,G,10300,Charles Schwab Challenge,Golf,73.18
G,Daniel Berger (17818648),Daniel Berger,17818648,G,10000,Charles Schwab Challenge,Golf,80.14
G,Will Zalatoris (17818649),Will Zalatoris,17818649,G,9900,Charles Schwab Challenge,Golf,86.56
G,Abraham Ancer (17818650),Abraham Ancer,17818650,G,9700,Charles Schwab Challenge,Golf,75.18
G,Tony Finau (17818651),Tony Finau,17818651,G,9600,Charles Schwab Challenge,Golf,77.91
G,Scottie Scheffler (17818652),Scottie Scheffler,17818652,G,9500,Charles Schwab Challenge,Golf,69.81
G,Corey Conners (17818653),Corey Conners,17818653,G,9400,Charles Schwab Challenge,Golf,73.32
G,Joaquin Niemann (17818654),Joaquin Niemann,17818654,G,9300,Charles Schwab Challenge,Golf,82.16
G,Gary Woodland (17818655),Gary Woodland,17818655,G,9200,Charles Schwab Challenge,Golf,47.72
G,Sungjae Im (17818656),Sungjae Im,17818656,G,9100,Charles Schwab Challenge,Golf,73.25
G,Jason Kokrak (17818657),Jason Kokrak,17818657,G,9000,Charles Schwab Challenge,Golf,68.76
G,Justin Rose (17818658),Justin Rose,17818658,G,8900,Charles Schwab Challenge,Golf,62.88
G,Billy Horschel (17818659),Billy Horschel,17818659,G,8800,Charles Schwab Challenge,Golf,69.5
G,Charley Hoffman (17818660),Charley Hoffman,17818660,G,8700,Charles Schwab Challenge,Golf,69.64
G,Ryan Palmer (17818661),Ryan Palmer,17818661,G,8600,Charles Schwab Challenge,Golf,76.4
G,Phil Mickelson (17818662),Phil Mickelson,17818662,G,8500,Charles Schwab Challenge,Golf,60.36
G,Kevin Na (17818663),Kevin Na,17818663,G,8400,Charles Schwab Challenge,Golf,60.94
G,Kevin Streelman (17818664),Kevin Streelman,17818664,G,8300,Charles Schwab Challenge,Golf,61.26
G,Matt Wallace (17818665),Matt Wallace,17818665,G,8200,Charles Schwab Challenge,Golf,60.46
G,Cameron Tringale (17818666),Cameron Tringale,17818666,G,8100,Charles Schwab Challenge,Golf,67
G,Brian Harman (17818667),Brian Harman,17818667,G,8000,Charles Schwab Challenge,Golf,71.5
G,Brandt Snedeker (17818668),Brandt Snedeker,17818668,G,7900,Charles Schwab Challenge,Golf,53.14
G,Emiliano Grillo (17818669),Emiliano Grillo,17818669,G,7900,Charles Schwab Challenge,Golf,69.38
G,Matt Jones (17818670),Matt Jones,17818670,G,7800,Charles Schwab Challenge,Golf,68.60
G,Keith Mitchell (17818671),Keith Mitchell,17818671,G,7800,Charles Schwab Challenge,Golf,54.22
G,Ian Poulter (17818672),Ian Poulter,17818672,G,7700,Charles Schwab Challenge,Golf,51.69
G,Kyoung-Hoon Lee (17818673),Kyoung-Hoon Lee,17818673,G,7700,Charles Schwab Challenge,Golf,55.87
G,Chris Kirk (17818674),Chris Kirk,17818674,G,7600,Charles Schwab Challenge,Golf,68.95
G,Matt Kuchar (17818675),Matt Kuchar,17818675,G,7600,Charles Schwab Challenge,Golf,52.72
G,Lee Westwood (17818676),Lee Westwood,17818676,G,7600,Charles Schwab Challenge,Golf,56.07
G,Si Woo Kim (17818677),Si Woo Kim,17818677,G,7600,Charles Schwab Challenge,Golf,61.5
G,Peter Uihlein (17818678),Peter Uihlein,17818678,G,7500,Charles Schwab Challenge,Golf,68.11
G,Sergio Garcia (17818679),Sergio Garcia,17818679,G,7500,Charles Schwab Challenge,Golf,61.12
G,Branden Grace (17818680),Branden Grace,17818680,G,7500,Charles Schwab Challenge,Golf,57.36
G,Cameron Davis (17818681),Cameron Davis,17818681,G,7500,Charles Schwab Challenge,Golf,67.31
G,Harold Varner III (17818682),Harold Varner III,17818682,G,7400,Charles Schwab Challenge,Golf,57.82
G,Camilo Villegas (17818683),Camilo Villegas,17818683,G,7400,Charles Schwab Challenge,Golf,53.59
G,Joel Dahmen (17818684),Joel Dahmen,17818684,G,7400,Charles Schwab Challenge,Golf,56.72
G,Patton Kizzire (17818685),Patton Kizzire,17818685,G,7400,Charles Schwab Challenge,Golf,70.5
G,Scott Stallings (17818686),Scott Stallings,17818686,G,7400,Charles Schwab Challenge,Golf,52.79
G,Russell Knox (17818687),Russell Knox,17818687,G,7300,Charles Schwab Challenge,Golf,55.10
