Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Jordan Spieth (17915509),Jordan Spieth,17915509,G,11300,the Memorial Tournament presented by Nationwide,Golf,75.5
G,Jon Rahm (17915510),Jon Rahm,17915510,G,11100,the Memorial Tournament presented by Nationwide,Golf,80.57
G,Bryson DeChambeau (17915511),Bryson DeChambeau,17915511,G,10900,the Memorial Tournament presented by Nationwide,Golf,84.54
G,Rory McIlroy (17915512),Rory McIlroy,17915512,G,10600,the Memorial Tournament presented by Nationwide,Golf,71.79
G,Collin Morikawa (17915513),Collin Morikawa,17915513,G,10400,the Memorial Tournament presented by Nationwide,Golf,74.3
G,Justin Thomas (17915514),Justin Thomas,17915514,G,10200,the Memorial Tournament presented by Nationwide,Golf,80.88
G,Viktor Hovland (17915515),Viktor Hovland,17915515,G,9900,the Memorial Tournament presented by Nationwide,Golf,84.5
G,Xander Schauffele (17915516),Xander Schauffele,17915516,G,9700,the Memorial Tournament presented by Nationwide,Golf,83.62
G,Patrick Cantlay (17915517),Patrick Cantlay,17915517,G,9500,the Memorial Tournament presented by Nationwide,Golf,71.21
G,Hideki Matsuyama (17915518),Hideki Matsuyama,17915518,G,9400,the Memorial Tournament presented by Nationwide,Golf,71.47
G,Corey Conners (17915519),Corey Conners,17915519,G,9300,the Memorial Tournament presented by Nationwide,Golf,73.05
G,Tony Finau (17915520),Tony Finau,17915520,G,9200,the Memorial Tournament presented by Nationwide,Golf,77.59
G,Patrick Reed (17915521),Patrick Reed,17915521,G,9100,the Memorial Tournament presented by Nationwide,Golf,70.23
G,Scottie Scheffler (17915522),Scottie Scheffler,17915522,G,9000,the Memorial Tournament presented by Nationwide,Golf,67.34
G,Sam Burns (17915523),Sam Burns,17915523,G,8900,the Memorial Tournament presented by Nationwide,Golf,69.71
G,Joaquin Niemann (17915525),Joaquin Niemann,17915525,G,8800,the Memorial Tournament presented by Nationwide,Golf,80.85
G,Matt Fitzpatrick (17915524),Matt Fitzpatrick,17915524,G,8700,the Memorial Tournament presented by Nationwide,Golf,65.63
G,Cameron Smith (17915526),Cameron Smith,17915526,G,8600,the Memorial Tournament presented by Nationwide,Golf,81.89
G,Louis Oosthuizen (17915527),Louis Oosthuizen,17915527,G,8500,the Memorial Tournament presented by Nationwide,Golf,74.54
G,Shane Lowry (17915528),Shane Lowry,17915528,G,8400,the Memorial Tournament presented by Nationwide,Golf,60.71
