Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Rory McIlroy (17527360),Rory McIlroy,17527360,G,11500,PGA Championship,Golf,73.35
G,Justin Thomas (17527361),Justin Thomas,17527361,G,11300,PGA Championship,Golf,86.46
G,Dustin Johnson (17527362),Dustin Johnson,17527362,G,10900,PGA Championship,Golf,83.54
G,Jon Rahm (17527363),Jon Rahm,17527363,G,10500,PGA Championship,Golf,81.62
G,Bryson DeChambeau (17527364),Bryson DeChambeau,17527364,G,10200,PGA Championship,Golf,87.64
G,Jordan Spieth (17527365),Jordan Spieth,17527365,G,10100,PGA Championship,Golf,72.54
G,Collin Morikawa (17527366),Collin Morikawa,17527366,G,9800,PGA Championship,Golf,74.38
G,Xander Schauffele (17527367),Xander Schauffele,17527367,G,9600,PGA Championship,Golf,89.04
G,Brooks Koepka (17527368),Brooks Koepka,17527368,G,9500,PGA Championship,Golf,68.3
G,Hideki Matsuyama (17527369),Hideki Matsuyama,17527369,G,9400,PGA Championship,Golf,71.19
G,Viktor Hovland (17527370),Viktor Hovland,17527370,G,9300,PGA Championship,Golf,86.17
G,Webb Simpson (17527371),Webb Simpson,17527371,G,9200,PGA Championship,Golf,82
G,Patrick Reed (17527372),Patrick Reed,17527372,G,9100,PGA Championship,Golf,73.58
G,Patrick Cantlay (17527373),Patrick Cantlay,17527373,G,9000,PGA Championship,Golf,71.19
G,Cameron Smith (17527374),Cameron Smith,17527374,G,8900,PGA Championship,Golf,84.5
G,Will Zalatoris (17527375),Will Zalatoris,17527375,G,8800,PGA Championship,Golf,86.55
G,Daniel Berger (17527376),Daniel Berger,17527376,G,8700,PGA Championship,Golf,79.21
G,Tony Finau (17527377),Tony Finau,17527377,G,8600,PGA Championship,Golf,78.4
G,Scottie Scheffler (17527378),Scottie Scheffler,17527378,G,8500,PGA Championship,Golf,68.62
G,Matt Fitzpatrick (17527379),Matt Fitzpatrick,17527379,G,8400,PGA Championship,Golf,67.73
