Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Jon Rahm (18004731),Jon Rahm,18004731,G,11200,U.S. Open ,Golf,81.4
G,Jordan Spieth (18004732),Jordan Spieth,18004732,G,10900,U.S. Open ,Golf,75.25
G,Dustin Johnson (18004733),Dustin Johnson,18004733,G,10700,U.S. Open ,Golf,79.12
G,Bryson DeChambeau (18004735),Bryson DeChambeau,18004735,G,10400,U.S. Open ,Golf,84.04
G,Brooks Koepka (18004734),Brooks Koepka,18004734,G,10100,U.S. Open ,Golf,64.23
G,Rory McIlroy (18004736),Rory McIlroy,18004736,G,9900,U.S. Open ,Golf,71.63
G,Justin Thomas (18004737),Justin Thomas,18004737,G,9700,U.S. Open ,Golf,79.35
G,Collin Morikawa (18004738),Collin Morikawa,18004738,G,9500,U.S. Open ,Golf,76.59
G,Xander Schauffele (18004739),Xander Schauffele,18004739,G,9300,U.S. Open ,Golf,82.5
G,Viktor Hovland (18004740),Viktor Hovland,18004740,G,9200,U.S. Open ,Golf,82.85
G,Patrick Cantlay (18004741),Patrick Cantlay,18004741,G,9100,U.S. Open ,Golf,74.13
G,Patrick Reed (18004742),Patrick Reed,18004742,G,9000,U.S. Open ,Golf,70.97
G,Tony Finau (18004743),Tony Finau,18004743,G,8900,U.S. Open ,Golf,76.83
G,Hideki Matsuyama (18004744),Hideki Matsuyama,18004744,G,8800,U.S. Open ,Golf,70.76
G,Webb Simpson (18004745),Webb Simpson,18004745,G,8700,U.S. Open ,Golf,80.19
G,Will Zalatoris (18004746),Will Zalatoris,18004746,G,8600,U.S. Open ,Golf,85.57
G,Scottie Scheffler (18004747),Scottie Scheffler,18004747,G,8500,U.S. Open ,Golf,69.12
G,Daniel Berger (18004748),Daniel Berger,18004748,G,8400,U.S. Open ,Golf,79.33
G,Tyrrell Hatton (18004749),Tyrrell Hatton,18004749,G,8300,U.S. Open ,Golf,76.25
G,Corey Conners (18004750),Corey Conners,18004750,G,8200,U.S. Open ,Golf,72
G,Louis Oosthuizen (18004751),Louis Oosthuizen,18004751,G,8100,U.S. Open ,Golf,73.42
G,Justin Rose (18004752),Justin Rose,18004752,G,8000,U.S. Open ,Golf,63.04
G,Cameron Smith (18004753),Cameron Smith,18004753,G,8000,U.S. Open ,Golf,78.17
G,Paul Casey (18004754),Paul Casey,18004754,G,7900,U.S. Open ,Golf,74.16
G,Abraham Ancer (18004755),Abraham Ancer,18004755,G,7900,U.S. Open ,Golf,72.43
G,Matt Fitzpatrick (18004756),Matt Fitzpatrick,18004756,G,7800,U.S. Open ,Golf,64.5
G,Tommy Fleetwood (18004757),Tommy Fleetwood,18004757,G,7800,U.S. Open ,Golf,60.22
G,Sam Burns (18004758),Sam Burns,18004758,G,7700,U.S. Open ,Golf,69.03
G,Phil Mickelson (18004759),Phil Mickelson,18004759,G,7700,U.S. Open ,Golf,58.5
G,Shane Lowry (18004760),Shane Lowry,18004760,G,7600,U.S. Open ,Golf,62.17
G,Sungjae Im (18004761),Sungjae Im,18004761,G,7600,U.S. Open ,Golf,69.12
G,Jason Kokrak (18004762),Jason Kokrak,18004762,G,7600,U.S. Open ,Golf,71.31
G,Gary Woodland (18004763),Gary Woodland,18004763,G,7500,U.S. Open ,Golf,47.69
G,Joaquin Niemann (18004764),Joaquin Niemann,18004764,G,7500,U.S. Open ,Golf,77.83
G,Sergio Garcia (18004765),Sergio Garcia,18004765,G,7500,U.S. Open ,Golf,61.81
G,Brian Harman (18004766),Brian Harman,18004766,G,7400,U.S. Open ,Golf,71.60
G,Adam Scott (18004767),Adam Scott,18004767,G,7400,U.S. Open ,Golf,66.27
G,Marc Leishman (18004768),Marc Leishman,18004768,G,7400,U.S. Open ,Golf,58.78
G,Bubba Watson (18004769),Bubba Watson,18004769,G,7400,U.S. Open ,Golf,56.21
G,Lee Westwood (18004770),Lee Westwood,18004770,G,7300,U.S. Open ,Golf,54.19
G,Harris English (18004771),Harris English,18004771,G,7300,U.S. Open ,Golf,71.44
G,Billy Horschel (18004772),Billy Horschel,18004772,G,7300,U.S. Open ,Golf,67.74
G,Max Homa (18004773),Max Homa,18004773,G,7300,U.S. Open ,Golf,61.5
G,Si Woo Kim (18004774),Si Woo Kim,18004774,G,7300,U.S. Open ,Golf,59.96
G,Christiaan Bezuidenhout (18004775),Christiaan Bezuidenhout,18004775,G,7200,U.S. Open ,Golf,61.46
G,Branden Grace (18004776),Branden Grace,18004776,G,7200,U.S. Open ,Golf,56.35
G,Garrick Higgo (18004777),Garrick Higgo,18004777,G,7200,U.S. Open ,Golf,80.88
G,Stewart Cink (18004778),Stewart Cink,18004778,G,7200,U.S. Open ,Golf,68.31
G,Matthew Wolff (18004779),Matthew Wolff,18004779,G,7200,U.S. Open ,Golf,58.23
G,Charley Hoffman (18004780),Charley Hoffman,18004780,G,7200,U.S. Open ,Golf,70.26
G,Matt Kuchar (18004781),Matt Kuchar,18004781,G,7100,U.S. Open ,Golf,50.5
G,Matt Wallace (18004782),Matt Wallace,18004782,G,7100,U.S. Open ,Golf,58
G,Kevin Streelman (18004783),Kevin Streelman,18004783,G,7100,U.S. Open ,Golf,62.26
G,Francesco Molinari (18004784),Francesco Molinari,18004784,G,7100,U.S. Open ,Golf,49.82
G,Carlos Ortiz (18004785),Carlos Ortiz,18004785,G,7100,U.S. Open ,Golf,67.52
G,Ryan Palmer (18004786),Ryan Palmer,18004786,G,7100,U.S. Open ,Golf,75.91
G,Kevin Na (18004787),Kevin Na,18004787,G,7000,U.S. Open ,Golf,61.39
G,Charl Schwartzel (18004788),Charl Schwartzel,18004788,G,7000,U.S. Open ,Golf,55.35
G,Cameron Champ (18004789),Cameron Champ,18004789,G,7000,U.S. Open ,Golf,48.03
G,Robert Macintyre (18004790),Robert Macintyre,18004790,G,7000,U.S. Open ,Golf,63.21
G,Ian Poulter (18004791),Ian Poulter,18004791,G,7000,U.S. Open ,Golf,54.92
G,Matt Jones (18004792),Matt Jones,18004792,G,7000,U.S. Open ,Golf,64.36
G,Russell Henley (18004793),Russell Henley,18004793,G,7000,U.S. Open ,Golf,63.59
G,Kevin Kisner (18004794),Kevin Kisner,18004794,G,6900,U.S. Open ,Golf,52.25
G,Zach Johnson (18004795),Zach Johnson,18004795,G,6900,U.S. Open ,Golf,59.63
G,Brendon Todd (18004796),Brendon Todd,18004796,G,6900,U.S. Open ,Golf,63.32
G,Kyoung-Hoon Lee (18004797),Kyoung-Hoon Lee,18004797,G,6900,U.S. Open ,Golf,55.31
G,Wilco Nienaber (18004798),Wilco Nienaber,18004798,G,6900,U.S. Open ,Golf,48.31
G,Sebastian Munoz (18004799),Sebastian Munoz,18004799,G,6900,U.S. Open ,Golf,58.85
G,Martin Kaymer (18004800),Martin Kaymer,18004800,G,6900,U.S. Open ,Golf,39.67
G,Cameron Young (18004801),Cameron Young,18004801,G,6800,U.S. Open ,Golf,66.21
G,Lanto Griffin (18004802),Lanto Griffin,18004802,G,6800,U.S. Open ,Golf,56.8
G,Guido Migliozzi (18004803),Guido Migliozzi,18004803,G,6800,U.S. Open ,Golf,74.14
G,Bernd Wiesberger (18004804),Bernd Wiesberger,18004804,G,6800,U.S. Open ,Golf,60.77
G,Jhonattan Vegas (18004805),Jhonattan Vegas,18004805,G,6800,U.S. Open ,Golf,62.1
G,Dylan Frittelli (18004806),Dylan Frittelli,18004806,G,6800,U.S. Open ,Golf,43.47
G,Chez Reavie (18004807),Chez Reavie,18004807,G,6800,U.S. Open ,Golf,43.55
G,Victor Perez (18004808),Victor Perez,18004808,G,6800,U.S. Open ,Golf,46.91
G,Tom Hoge (18004809),Tom Hoge,18004809,G,6700,U.S. Open ,Golf,52.18
G,Adam Hadwin (18004810),Adam Hadwin,18004810,G,6700,U.S. Open ,Golf,52.5
G,Mackenzie Hughes (18004811),Mackenzie Hughes,18004811,G,6700,U.S. Open ,Golf,50.25
G,Henrik Stenson (18004812),Henrik Stenson,18004812,G,6700,U.S. Open ,Golf,34.95
G,Wyndham Clark (18004813),Wyndham Clark,18004813,G,6700,U.S. Open ,Golf,59.4
G,Rafa Cabrera Bello (18004814),Rafa Cabrera Bello,18004814,G,6700,U.S. Open ,Golf,49.91
G,Bo Hoag (18004815),Bo Hoag,18004815,G,6700,U.S. Open ,Golf,47.58
G,Erik Van Rooyen (18004816),Erik Van Rooyen,18004816,G,6700,U.S. Open ,Golf,45.97
G,J.T. Poston (18004817),J.T. Poston,18004817,G,6600,U.S. Open ,Golf,49.32
G,Sung Kang (18004818),Sung Kang,18004818,G,6600,U.S. Open ,Golf,40.70
G,Jordan L. Smith (18004819),Jordan L. Smith,18004819,G,6600,U.S. Open ,Golf,62.41
G,Richard Bland (18004820),Richard Bland,18004820,G,6600,U.S. Open ,Golf,65.75
G,Justin Suh (18004821),Justin Suh,18004821,G,6600,U.S. Open ,Golf,64.81
G,John Huh (18004822),John Huh,18004822,G,6600,U.S. Open ,Golf,54.57
G,Thomas Detry (18004823),Thomas Detry,18004823,G,6600,U.S. Open ,Golf,62.19
G,Martin Laird (18004824),Martin Laird,18004824,G,6600,U.S. Open ,Golf,55.40
G,Greyson Sigg (18004825),Greyson Sigg,18004825,G,6600,U.S. Open ,Golf,74.29
G,Troy Merritt (18004826),Troy Merritt,18004826,G,6500,U.S. Open ,Golf,51.83
G,Brendan Steele (18004827),Brendan Steele,18004827,G,6500,U.S. Open ,Golf,62.92
G,Taylor Pendrith (18004828),Taylor Pendrith,18004828,G,6500,U.S. Open ,Golf,74.91
G,Jimmy Walker (18004829),Jimmy Walker,18004829,G,6500,U.S. Open ,Golf,40.93
G,Peter Malnati (18004830),Peter Malnati,18004830,G,6500,U.S. Open ,Golf,49.39
G,Patrick Rodgers (18004831),Patrick Rodgers,18004831,G,6500,U.S. Open ,Golf,48.5
G,Brian Stuard (18004832),Brian Stuard,18004832,G,6500,U.S. Open ,Golf,51.22
G,Marcus Armitage (18004833),Marcus Armitage,18004833,G,6500,U.S. Open ,Golf,65.8
G,Edoardo Molinari (18004834),Edoardo Molinari,18004834,G,6500,U.S. Open ,Golf,47.12
G,Dylan Wu (18004835),Dylan Wu,18004835,G,6400,U.S. Open ,Golf,60.59
G,Robby Shelton (18004836),Robby Shelton,18004836,G,6400,U.S. Open ,Golf,43.94
G,Sahith Theegala (18004837),Sahith Theegala,18004837,G,6400,U.S. Open ,Golf,68.6
G,J.J. Spaun (18004838),J.J. Spaun,18004838,G,6400,U.S. Open ,Golf,43.94
G,Fabian Gomez (18004839),Fabian Gomez,18004839,G,6400,U.S. Open ,Golf,42
G,Sam Ryder (18004840),Sam Ryder,18004840,G,6400,U.S. Open ,Golf,44.68
G,Hayden Buckley (18004841),Hayden Buckley,18004841,G,6400,U.S. Open ,Golf,60.12
G,Akshay Bhatia (18004842),Akshay Bhatia,18004842,G,6400,U.S. Open ,Golf,52.43
G,Joe Long (18004843),Joe Long,18004843,G,6400,U.S. Open ,Golf,19
G,Cole Hammer (18068436),Cole Hammer,18068436,G,6400,U.S. Open ,Golf,24.83
G,Thomas Aiken (18004844),Thomas Aiken,18004844,G,6300,U.S. Open ,Golf,27
G,Chris Baker (18004845),Chris Baker,18004845,G,6300,U.S. Open ,Golf,37.68
G,Chris Crawford (18004846),Chris Crawford,18004846,G,6300,U.S. Open ,Golf,0
G,Taylor Montgomery (18004847),Taylor Montgomery,18004847,G,6300,U.S. Open ,Golf,66.14
G,Tyler Strafaci (18004848),Tyler Strafaci,18004848,G,6300,U.S. Open ,Golf,18.9
G,Charles Osborne (18004849),Charles Osborne,18004849,G,6300,U.S. Open ,Golf,0
G,Ryo Ishikawa (18004850),Ryo Ishikawa,18004850,G,6300,U.S. Open ,Golf,33.38
G,Paul Barjon (18004851),Paul Barjon,18004851,G,6300,U.S. Open ,Golf,65.31
G,Alvaro Ortiz (18004852),Alvaro Ortiz,18004852,G,6300,U.S. Open ,Golf,44.25
G,Johannes Veerman (18004853),Johannes Veerman,18004853,G,6300,U.S. Open ,Golf,51.89
G,Zack Sucher (18068437),Zack Sucher,18068437,G,6300,U.S. Open ,Golf,44.97
G,Andrew Kozan (18004854),Andrew Kozan,18004854,G,6200,U.S. Open ,Golf,0
G,Luis Gagne (18004855),Luis Gagne,18004855,G,6200,U.S. Open ,Golf,0
G,Davis Shore (18004856),Davis Shore,18004856,G,6200,U.S. Open ,Golf,0
G,Spencer Ralston (18004857),Spencer Ralston,18004857,G,6200,U.S. Open ,Golf,0
G,Rick Lamb (18004858),Rick Lamb,18004858,G,6200,U.S. Open ,Golf,51.84
G,Joe Highsmith (18004859),Joe Highsmith,18004859,G,6200,U.S. Open ,Golf,0
G,Dave Coupland (18004860),Dave Coupland,18004860,G,6200,U.S. Open ,Golf,51.22
G,Mikko Korhonen (18004861),Mikko Korhonen,18004861,G,6200,U.S. Open ,Golf,61.06
G,Adrian Meronk (18004862),Adrian Meronk,18004862,G,6200,U.S. Open ,Golf,70.1
G,Wade Ormsby (18004863),Wade Ormsby,18004863,G,6200,U.S. Open ,Golf,51.31
G,Matthew Southgate (18004864),Matthew Southgate,18004864,G,6200,U.S. Open ,Golf,52.92
G,Pierceson Coody (18068435),Pierceson Coody,18068435,G,6200,U.S. Open ,Golf,35.5
G,James Hervol (18004865),James Hervol,18004865,G,6100,U.S. Open ,Golf,0
G,Andy Pope (18004866),Andy Pope,18004866,G,6100,U.S. Open ,Golf,49.44
