Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
G,Jon Rahm (18319572),Jon Rahm,18319572,G,11300,The Open Championship,Golf,83.82
G,Rory McIlroy (18319573),Rory McIlroy,18319573,G,10900,The Open Championship,Golf,69.14
G,Brooks Koepka (18319574),Brooks Koepka,18319574,G,10700,The Open Championship,Golf,67.4
G,Dustin Johnson (18319575),Dustin Johnson,18319575,G,10400,The Open Championship,Golf,77.47
G,Xander Schauffele (18319576),Xander Schauffele,18319576,G,10000,The Open Championship,Golf,82.25
G,Bryson DeChambeau (18319577),Bryson DeChambeau,18319577,G,9900,The Open Championship,Golf,78.85
G,Jordan Spieth (18319578),Jordan Spieth,18319578,G,9700,The Open Championship,Golf,74.32
G,Justin Thomas (18319579),Justin Thomas,18319579,G,9600,The Open Championship,Golf,78.92
G,Louis Oosthuizen (18319580),Louis Oosthuizen,18319580,G,9300,The Open Championship,Golf,74.63
G,Collin Morikawa (18319581),Collin Morikawa,18319581,G,9200,The Open Championship,Golf,76.47
G,Viktor Hovland (18319582),Viktor Hovland,18319582,G,9100,The Open Championship,Golf,81.47
G,Tyrrell Hatton (18319583),Tyrrell Hatton,18319583,G,9000,The Open Championship,Golf,73.53
G,Patrick Cantlay (18319584),Patrick Cantlay,18319584,G,8900,The Open Championship,Golf,73.35
G,Patrick Reed (18319585),Patrick Reed,18319585,G,8800,The Open Championship,Golf,70.55
G,Hideki Matsuyama (18319586),Hideki Matsuyama,18319586,G,8700,The Open Championship,Golf,67.62
G,Paul Casey (18319587),Paul Casey,18319587,G,8600,The Open Championship,Golf,74.42
G,Will Zalatoris (18319588),Will Zalatoris,18319588,G,8500,The Open Championship,Golf,82.78
G,Tony Finau (18319589),Tony Finau,18319589,G,8400,The Open Championship,Golf,70.95
G,Webb Simpson (18319590),Webb Simpson,18319590,G,8300,The Open Championship,Golf,72.27
G,Scottie Scheffler (18319591),Scottie Scheffler,18319591,G,8200,The Open Championship,Golf,70.11
G,Adam Scott (18319592),Adam Scott,18319592,G,8100,The Open Championship,Golf,66.57
G,Justin Rose (18319593),Justin Rose,18319593,G,8000,The Open Championship,Golf,59.91
G,Tommy Fleetwood (18319594),Tommy Fleetwood,18319594,G,8000,The Open Championship,Golf,61.47
G,Shane Lowry (18319595),Shane Lowry,18319595,G,7900,The Open Championship,Golf,61.88
G,Matt Fitzpatrick (18319596),Matt Fitzpatrick,18319596,G,7900,The Open Championship,Golf,66.45
G,Cameron Smith (18319597),Cameron Smith,18319597,G,7800,The Open Championship,Golf,75.03
G,Marc Leishman (18319598),Marc Leishman,18319598,G,7700,The Open Championship,Golf,60.25
G,Joaquin Niemann (18319599),Joaquin Niemann,18319599,G,7700,The Open Championship,Golf,77.95
G,Jason Day (18319600),Jason Day,18319600,G,7700,The Open Championship,Golf,54.76
G,Sergio Garcia (18319601),Sergio Garcia,18319601,G,7600,The Open Championship,Golf,62.92
G,Sungjae Im (18319602),Sungjae Im,18319602,G,7600,The Open Championship,Golf,69.93
G,Abraham Ancer (18319603),Abraham Ancer,18319603,G,7600,The Open Championship,Golf,71.46
G,Lee Westwood (18319604),Lee Westwood,18319604,G,7500,The Open Championship,Golf,55
G,Phil Mickelson (18319605),Phil Mickelson,18319605,G,7500,The Open Championship,Golf,58.30
G,Matthew Wolff (18319606),Matthew Wolff,18319606,G,7500,The Open Championship,Golf,57.39
G,Daniel Berger (18319607),Daniel Berger,18319607,G,7400,The Open Championship,Golf,77.97
G,Garrick Higgo (18319608),Garrick Higgo,18319608,G,7400,The Open Championship,Golf,70.59
G,Francesco Molinari (18319609),Francesco Molinari,18319609,G,7400,The Open Championship,Golf,47.82
G,Christiaan Bezuidenhout (18319610),Christiaan Bezuidenhout,18319610,G,7400,The Open Championship,Golf,63.13
G,Robert Macintyre (18319611),Robert Macintyre,18319611,G,7300,The Open Championship,Golf,63.43
G,Bubba Watson (18319612),Bubba Watson,18319612,G,7300,The Open Championship,Golf,60.44
G,Gary Woodland (18319613),Gary Woodland,18319613,G,7300,The Open Championship,Golf,47.05
G,Rickie Fowler (18319614),Rickie Fowler,18319614,G,7300,The Open Championship,Golf,52.71
G,Harris English (18319615),Harris English,18319615,G,7300,The Open Championship,Golf,74.1
G,Thomas Detry (18374338),Thomas Detry,18374338,G,7300,The Open Championship,Golf,61.75
G,Branden Grace (18319616),Branden Grace,18319616,G,7200,The Open Championship,Golf,57.48
G,Matt Wallace (18319617),Matt Wallace,18319617,G,7200,The Open Championship,Golf,56.64
G,Jason Kokrak (18319618),Jason Kokrak,18319618,G,7200,The Open Championship,Golf,70.32
G,Alex Noren (18319619),Alex Noren,18319619,G,7200,The Open Championship,Golf,57.55
G,Ian Poulter (18319620),Ian Poulter,18319620,G,7200,The Open Championship,Golf,57.76
G,Russell Henley (18319621),Russell Henley,18319621,G,7200,The Open Championship,Golf,65.4
G,Min Woo Lee (18373458),Min Woo Lee,18373458,G,7200,The Open Championship,Golf,60.46
G,Danny Willett (18319622),Danny Willett,18319622,G,7100,The Open Championship,Golf,51.40
G,Bernd Wiesberger (18319623),Bernd Wiesberger,18319623,G,7100,The Open Championship,Golf,61.22
G,Max Homa (18319624),Max Homa,18319624,G,7100,The Open Championship,Golf,59.25
G,Guido Migliozzi (18319625),Guido Migliozzi,18319625,G,7100,The Open Championship,Golf,74.86
G,Brian Harman (18319626),Brian Harman,18319626,G,7100,The Open Championship,Golf,70.54
G,Corey Conners (18319627),Corey Conners,18319627,G,7100,The Open Championship,Golf,68.31
G,Martin Kaymer (18373451),Martin Kaymer,18373451,G,7100,The Open Championship,Golf,48.62
G,Brandt Snedeker (18319628),Brandt Snedeker,18319628,G,7000,The Open Championship,Golf,53.27
