Team,P1,P2,P3,P4,P5,P6,Metrics,Window ,Cost,AvgPointsPerGame
1,Dustin Johnson,Tony Finau,Cameron Smith,Joaquin Niemann,Will Zalatoris,Ryan Palmer,AvgPointsPerGame,All Season,"50,000.00",524.8
2,Jon Rahm,Justin Thomas,Will Zalatoris,Harris English,Corey Conners,Jason Kokrak,"Sum['SG:APR_02674', 'TOP 10_138', '1ST_138']",All Season,"50,000.00",482.55
3,Bryson DeChambeau,Bubba Watson,Dylan Frittelli,Phil Mickelson,Cameron Champ,Jim Herman,"Sum['%_115', 'AVG_104', '%_160']",All Season,"44,500.00",355.41
4,Bryson DeChambeau,Bubba Watson,Will Zalatoris,Victor Perez,Shane Lowry,Bernd Wiesberger,"Sum['AVERAGE_02675', 'BIRDIE TO BOGEY RATIO_02415', 'AVG_104']",All Season,"46,300.00",416.34
5,Jon Rahm,Collin Morikawa,Viktor Hovland,Sergio Garcia,Martin Laird,Stewart Cink,"Sum['1ST_138', '%_103', 'AVG_104']",All Season,"49,600.00",439.1
6,Bryson DeChambeau,Tony Finau,Daniel Berger,Joaquin Niemann,Will Zalatoris,Ryan Palmer,"Sum['AVERAGE_02675', 'TOP 10_138', 'AvgPointsPerGame']",All Season,"49,600.00",524.52
7,Bryson DeChambeau,Collin Morikawa,Viktor Hovland,Joaquin Niemann,Jason Kokrak,Stewart Cink,"Sum['1ST_138', '%_103', 'AVERAGE_02675']",All Season,"49,500.00",472.96
8,Jon Rahm,Webb Simpson,Viktor Hovland,Joaquin Niemann,Will Zalatoris,Ryan Palmer,"Sum['AvgPointsPerGame', '%_103', 'AVG_104']",All Season,"49,900.00",513.93
9,Xander Schauffele,Webb Simpson,Daniel Berger,Joaquin Niemann,Jason Kokrak,Ryan Palmer,"Sum['AVERAGE_02564', 'AvgPointsPerGame', '%_103']",All Season,"48,300.00",498.46
10,Justin Thomas,Patrick Reed,Cameron Smith,Harris English,Justin Rose,Max Homa,"Sum['%_115', 'SG:ARG_02674', 'SG:APR_02674']",All Season,"49,700.00",455.8
11,Justin Thomas,Collin Morikawa,Tony Finau,Will Zalatoris,Corey Conners,Ryan Palmer,"Sum['SG:ARG_02674', 'BIRDIE TO BOGEY RATIO_02415', 'SG:APR_02674']",All Season,"50,000.00",496.88
12,Bryson DeChambeau,Viktor Hovland,Cameron Smith,Joaquin Niemann,Will Zalatoris,Max Homa,"Sum['AVG_104', '%_160', 'AvgPointsPerGame']",All Season,"49,500.00",503.76
13,Jon Rahm,Xander Schauffele,Will Zalatoris,Harris English,Corey Conners,Jason Kokrak,"Sum['SG:ARG_02674', 'AVERAGE_02564', 'TOP 10_138']",All Season,"49,400.00",482.04
14,Bryson DeChambeau,Webb Simpson,Daniel Berger,Joaquin Niemann,Will Zalatoris,Ryan Palmer,"Sum['BIRDIE TO BOGEY RATIO_02415', 'AvgPointsPerGame', 'AVERAGE_02675']",All Season,"49,500.00",519.97
15,Justin Thomas,Patrick Reed,Brooks Koepka,Cameron Smith,Carlos Ortiz,Brendon Todd,"Sum['SG:ARG_02674', '%_115', 'AVERAGE_02564']",All Season,"50,000.00",466.25
16,Christiaan Bezuidenhout,Dylan Frittelli,Kevin Na,Bernd Wiesberger,Martin Laird,Henrik Stenson,"Sum['SG:ARG_02674', 'AVG_104', '1ST_138']",All Season,"38,800.00",328.21
17,Justin Thomas,Patrick Cantlay,Webb Simpson,Joaquin Niemann,Carlos Ortiz,Ryan Palmer,"Sum['SG:ARG_02674', 'BIRDIE TO BOGEY RATIO_02415', 'AvgPointsPerGame']",All Season,"49,800.00",504.49
18,Justin Thomas,Patrick Cantlay,Cameron Smith,Louis Oosthuizen,Christiaan Bezuidenhout,Kevin Na,"Sum['SG:ARG_02674', '%_115', '%_160']",All Season,"49,300.00",462.36
19,Xander Schauffele,Webb Simpson,Louis Oosthuizen,Victor Perez,Jason Kokrak,Zach Johnson,"Sum['TOP 10_138', 'AVG_104', 'AVERAGE_02564']",All Season,"46,700.00",443.84
20,Justin Thomas,Patrick Cantlay,Webb Simpson,Harris English,Si Woo Kim,Carlos Ortiz,"Sum['TOP 10_138', 'BIRDIE TO BOGEY RATIO_02415', 'SG:ARG_02674']",All Season,"49,900.00",468.83
21,Justin Thomas,Patrick Cantlay,Cameron Smith,Joaquin Niemann,Harris English,Carlos Ortiz,"Sum['%_115', 'SG:ARG_02674', 'BIRDIE TO BOGEY RATIO_02415']",All Season,"49,800.00",496.09
22,Justin Thomas,Patrick Cantlay,Webb Simpson,Louis Oosthuizen,Christiaan Bezuidenhout,Matt Wallace,"Sum['TOP 10_138', 'SG:ARG_02674', 'AVERAGE_02675']",All Season,"50,000.00",446.55
23,Collin Morikawa,Bubba Watson,Will Zalatoris,Matt Wallace,Bernd Wiesberger,Henrik Stenson,"Sum['SG:APR_02674', 'AVG_104', '1ST_138']",All Season,"43,700.00",367.45
