Team,P1,P2,P3,P4,P5,P6,Sample,Cost,AvgPointsPerGame
1,Justin Thomas,Tony Finau,Sam Burns,Matt Wallace,Russell Henley,Aaron Wise,2,"49,900.00",414.63
2,Viktor Hovland,Sam Burns,Cameron Smith,Adam Scott,Max Homa,Matthew NeSmith,2,"49,500.00",420.39
3,Viktor Hovland,Hideki Matsuyama,Tony Finau,Keegan Bradley,Matt Wallace,Kyle Stanley,2,"50,000.00",412.28
4,Xander Schauffele,Patrick Reed,Louis Oosthuizen,Shane Lowry,Marc Leishman,Denny McCarthy,2,"50,000.00",402.12
5,Justin Thomas,Xander Schauffele,Louis Oosthuizen,Keegan Bradley,Lucas Glover,James Hahn,2,"49,900.00",416.73
6,Justin Thomas,Viktor Hovland,Cameron Smith,Matt Jones,Kyoung-Hoon Lee,Camilo Villegas,2,"49,400.00",422.48
7,Justin Thomas,Cameron Smith,Sungjae Im,Gary Woodland,Matt Jones,Harold Varner III,2,"49,100.00",407.57
8,Jon Rahm,Sam Burns,Marc Leishman,Cameron Tringale,Lucas Glover,C.T. Pan,2,"49,500.00",386.95
9,Jon Rahm,Hideki Matsuyama,Louis Oosthuizen,Chris Kirk,Brendan Steele,Vaughn Taylor,2,"48,900.00",402.02
10,Hideki Matsuyama,Scottie Scheffler,Cameron Smith,Keegan Bradley,Max Homa,Matt Jones,2,"49,600.00",409.87
11,Xander Schauffele,Corey Conners,Cameron Smith,Keegan Bradley,Russell Henley,Aaron Wise,2,"49,800.00",427.13
12,Hideki Matsuyama,Sam Burns,Charley Hoffman,Marc Leishman,Matt Wallace,Matt Jones,2,"48,900.00",397.92
13,Xander Schauffele,Tony Finau,Cameron Smith,Keegan Bradley,Matt Wallace,Harold Varner III,2,"50,000.00",423.96
14,Justin Thomas,Viktor Hovland,Cameron Smith,Keegan Bradley,Aaron Wise,Russell Knox,2,"49,800.00",423.49
15,Xander Schauffele,Corey Conners,Charley Hoffman,Marc Leishman,Charl Schwartzel,Carlos Ortiz,2,"49,500.00",409.65
16,Corey Conners,Tony Finau,Cameron Smith,Louis Oosthuizen,Max Homa,Danny Willett,2,"49,700.00",418.92
17,Viktor Hovland,Sam Burns,Keegan Bradley,Marc Leishman,Cameron Tringale,Kyoung-Hoon Lee,2,"49,200.00",398.54
18,Viktor Hovland,Corey Conners,Sam Burns,Bubba Watson,Charl Schwartzel,Matthew NeSmith,2,"50,000.00",400.44
19,Xander Schauffele,Cameron Smith,Louis Oosthuizen,Gary Woodland,Matt Jones,Harold Varner III,2,"48,900.00",413.59
20,Viktor Hovland,Xander Schauffele,Cameron Smith,Chris Kirk,Matt Jones,Brendan Steele,2,"49,100.00",447.35
21,Rory McIlroy,Justin Thomas,Stewart Cink,Kevin Streelman,Talor Gooch,J.T. Poston,2,"49,200.00",396.96
22,Bryson DeChambeau,Xander Schauffele,Cameron Smith,Cameron Tringale,Carlos Ortiz,Vaughn Taylor,2,"49,900.00",428.62
23,Bryson DeChambeau,Rory McIlroy,Keegan Bradley,Matt Wallace,Joel Dahmen,Russell Knox,2,"49,900.00",387.68
24,Rory McIlroy,Hideki Matsuyama,Max Homa,Matt Wallace,Lucas Glover,Aaron Wise,2,"49,100.00",382.23
25,Justin Thomas,Sam Burns,Cameron Smith,Marc Leishman,Adam Hadwin,Richy Werenski,2,"48,900.00",399.4
