Team,P1,P2,P3,P4,P5,P6,Metrics,Window ,Cost,AvgPointsPerGame
1,Brian Harman,Jordan Spieth,Lee Westwood,Marc Leishman,Paul Casey,Sam Burns,"Sum['BIRDIE TO BOGEY RATIO_02415', '%_103', 'AVERAGE_02564']",,"47,700.00",405.43
2,Billy Horschel,Brooks Koepka,Cameron Tringale,Daniel Berger,Louis Oosthuizen,Viktor Hovland,"Sum['AVERAGE_02675', 'BIRDIE TO BOGEY RATIO_02415', 'AvgPointsPerGame']",,"49,800.00",446.04
3,Brian Harman,Bryson DeChambeau,Cameron Smith,Keegan Bradley,Kevin Na,Tommy Fleetwood,"Sum['SG:ARG_02674', 'AVG_104', 'SG:APR_02674']",,"48,900.00",436.25
4,Billy Horschel,Collin Morikawa,Corey Conners,Daniel Berger,Lee Westwood,Webb Simpson,"Sum['%_115', '%_103', 'AVERAGE_02675']",,"49,900.00",433.34
5,Aaron Wise,Bryson DeChambeau,Corey Conners,Sam Horsfield,Russell Henley,Hideki Matsuyama,Low Exposure Golfer 6,,"48,300.00",449.51
6,Charley Hoffman,Justin Thomas,Lee Westwood,Sam Burns,Sergio Garcia,Will Zalatoris,"Sum['AVG_104', 'AVERAGE_02674', 'SG:APR_02674']",,"49,900.00",431.28
7,Adam Scott,Cameron Tringale,Brooks Koepka,Jason Kokrak,Sam Burns,Xander Schauffele,"Sum['%_160', 'AVERAGE_02674', 'SG:ARG_02674']",,"48,700.00",435.85
8,Brian Harman,Bryson DeChambeau,Charley Hoffman,Daniel Berger,Paul Casey,Tony Finau,"Sum['AvgPointsPerGame', 'AVERAGE_02675', '%_115']",,"49,900.00",464.34
9,Brian Harman,Bryson DeChambeau,Harold Varner III,Jason Kokrak,Jordan Spieth,Shane Lowry,"Sum['%_160', 'SG:OTT_02674', '%_103']",,"49,200.00",422.39
10,Abraham Ancer,Chris Kirk,Daniel Berger,Gary Woodland,Lee Westwood,Rory McIlroy,"Sum['%_160', 'AVERAGE_02675', 'AVERAGE_02674']",,"50,000.00",400.46
11,Abraham Ancer,Ryan Palmer,Sam Burns,Viktor Hovland,Will Zalatoris,Xander Schauffele,"Sum['AvgPointsPerGame', '%_103', 'AVERAGE_02675']",,"50,000.00",487.53
12,Brian Harman,Bryson DeChambeau,Cameron Smith,Jason Kokrak,Ryan Palmer,Viktor Hovland,"Sum['AVERAGE_02564', '%_160', 'AvgPointsPerGame']",,"49,800.00",482.83
13,Collin Morikawa,Daniel Berger,Lanto Griffin,Matt Wallace,Sergio Garcia,Webb Simpson,"Sum['AVG_104', 'AVERAGE_02674', 'SG:OTT_02674']",,"49,300.00",422.61
14,Brooks Koepka,Corey Conners,Richy Werenski,Scottie Scheffler,Sungjae Im,Viktor Hovland,"Sum['AVG_104', '%_160', 'SG:OTT_02674']",,"49,500.00",424.68
15,Cameron Davis,Brooks Koepka,J.T. Poston,Matt Wallace,Viktor Hovland,Will Zalatoris,"Sum['AVERAGE_02675', 'AVG_104', 'SG:ARG_02674']",,"48,000.00",424.72
16,Adam Scott,Billy Horschel,Collin Morikawa,Joaquin Niemann,Marc Leishman,Will Zalatoris,"Sum['SG:APR_02674', '%_103', 'BIRDIE TO BOGEY RATIO_02415']",,"49,100.00",443.3
17,Brendon Todd,Ryan Palmer,Scottie Scheffler,Viktor Hovland,Will Zalatoris,Xander Schauffele,"Sum['AVERAGE_02675', 'AvgPointsPerGame', '%_160']",,"49,800.00",476.38
18,Bryson DeChambeau,Corey Conners,Emiliano Grillo,Joaquin Niemann,Stewart Cink,Webb Simpson,"Sum['AVERAGE_02564', 'SG:OTT_02674', '%_103']",,"48,700.00",466.75
19,Brian Harman,Harris English,Matt Wallace,Patrick Cantlay,Shane Lowry,Hideki Matsuyama,Low Exposure Golfer 6,,"48,200.00",408.16
20,Abraham Ancer,Bryson DeChambeau,Charley Hoffman,Joaquin Niemann,Tyrrell Hatton,Will Zalatoris,"Sum['AVERAGE_02674', 'SG:OTT_02674', 'AvgPointsPerGame']",,"50,000.00",477.89
21,Brian Harman,Cameron Smith,Joaquin Niemann,Sam Burns,Sungjae Im,Xander Schauffele,"Sum['AVERAGE_02564', 'SG:ARG_02674', 'AvgPointsPerGame']",,"49,500.00",475.49
22,Charley Hoffman,Collin Morikawa,Harry Higgs,Kevin Na,Marc Leishman,Rory McIlroy,"Sum['%_115', 'BIRDIE TO BOGEY RATIO_02415', '%_103']",,"49,500.00",394.95
23,Brian Harman,Daniel Berger,Jordan Spieth,Paul Casey,Sam Burns,Tony Finau,"Sum['SG:ARG_02674', 'BIRDIE TO BOGEY RATIO_02415', 'AvgPointsPerGame']",,"50,000.00",449.77
