Team,P1,P2,P3,P4,P5,P6,Metrics,Window ,Cost,AvgPointsPerGame
1,Aaron Wise,Abraham Ancer,Harold Varner III,Kevin Streelman,Sergio Garcia,Shane Lowry,"Sum['AVG_104', '%_160', 'SG:OTT_02674']",,"43,800.00",377.47
2,Bryson DeChambeau,Corey Conners,Jason Kokrak,Joaquin Niemann,Sam Horsfield,Webb Simpson,"Sum['%_103', 'AVG_104', 'AVERAGE_02564']",,"48,600.00",487.98
3,Brian Harman,Bryson DeChambeau,Corey Conners,Gary Woodland,Shane Lowry,Webb Simpson,"Sum['AVERAGE_02675', '%_160', 'SG:OTT_02674']",,"49,700.00",424.54
4,Bryson DeChambeau,Corey Conners,Emiliano Grillo,Joaquin Niemann,Stewart Cink,Webb Simpson,"Sum['AVERAGE_02564', 'SG:OTT_02674', '%_103']",,"48,700.00",466.75
5,Aaron Wise,Abraham Ancer,J.T. Poston,Justin Thomas,Sergio Garcia,Shane Lowry,"Sum['AVG_104', 'AVERAGE_02674', 'SG:APR_02674']",,"47,900.00",399.41
6,Brendan Steele,Cameron Tringale,Chris Kirk,Jordan Spieth,Lee Westwood,Matt Jones,"Sum['AVERAGE_02675', 'SG:ARG_02674', 'SG:APR_02674']",,"45,200.00",400.79
7,Charl Schwartzel,Collin Morikawa,Joaquin Niemann,Marc Leishman,Matt Jones,Will Zalatoris,"Sum['%_160', 'AVERAGE_02674', '%_103']",,"47,900.00",426.71
8,Adam Scott,Billy Horschel,Collin Morikawa,Joaquin Niemann,Marc Leishman,Will Zalatoris,"Sum['SG:APR_02674', '%_103', 'BIRDIE TO BOGEY RATIO_02415']",,"49,100.00",443.3
9,Adam Scott,Brendan Steele,Bryson DeChambeau,Cameron Davis,Daniel Berger,Joaquin Niemann,"Sum['AVERAGE_02564', 'SG:OTT_02674', 'SG:APR_02674']",,"48,000.00",452.22
10,Bryson DeChambeau,Daniel Berger,Joaquin Niemann,Lee Westwood,Matt Jones,Sergio Garcia,"Sum['%_115', 'AVERAGE_02674', 'SG:OTT_02674']",,"48,800.00",438.55
11,Denny McCarthy,Jordan Spieth,Patrick Cantlay,Si Woo Kim,Sungjae Im,Tony Finau,"Sum['AVERAGE_02675', 'AVERAGE_02674', 'AVERAGE_02564']",,"49,400.00",414.72
12,Gary Woodland,Jordan Spieth,Kevin Streelman,Max Homa,Patrick Cantlay,Tony Finau,"Sum['SG:OTT_02674', 'AVERAGE_02675', '%_115']",,"49,200.00",392.48
13,Aaron Wise,Gary Woodland,Joaquin Niemann,Patrick Cantlay,Si Woo Kim,Tony Finau,"Sum['%_103', 'AVERAGE_02564', 'SG:OTT_02674']",,"47,300.00",401.03
14,Charley Hoffman,Gary Woodland,Joaquin Niemann,Patrick Cantlay,Si Woo Kim,Tony Finau,"Sum['SG:OTT_02674', 'AVERAGE_02674', 'AvgPointsPerGame']",,"47,400.00",412.33
15,Adam Scott,Cameron Davis,Cameron Tringale,Gary Woodland,Talor Gooch,Rory McIlroy,"Sum['AVG_104', '%_160', 'SG:APR_02674']",,"47,500.00",386.72
