Team,P1,P2,P3,P4,P5,P6,Sample Method,Cost,AvgPointsPerGame
1,Jon Rahm,Patrick Cantlay,Daniel Berger,Lee Westwood,Matt Wallace,Kyoung-Hoon Lee,3,"50,000.00",402.36
2,Jon Rahm,Corey Conners,Abraham Ancer,Shane Lowry,Jason Kokrak,Joaquin Niemann,5,"50,000.00",437.14
3,Jon Rahm,Collin Morikawa,Paul Casey,Brian Harman,Lanto Griffin,Jimmy Walker,3,"49,300.00",401.48
4,Jon Rahm,Viktor Hovland,Will Zalatoris,Charley Hoffman,Matt Wallace,Brendan Steele,5,"49,800.00",441
5,Jon Rahm,Patrick Reed,Paul Casey,Marc Leishman,Lee Westwood,Charley Hoffman,4,"50,000.00",409.76
6,Jon Rahm,Daniel Berger,Sam Burns,Shane Lowry,Branden Grace,Kyoung-Hoon Lee,Normal,"49,000.00",403.59
7,Jon Rahm,Patrick Reed,Paul Casey,Tommy Fleetwood,Si Woo Kim,Tom Hoge,Normal,"49,900.00",398.89
8,Jon Rahm,Collin Morikawa,Patrick Cantlay,Jhonattan Vegas,Adam Hadwin,Erik Van Rooyen,Normal,"50,000.00",392.69
9,Jon Rahm,Daniel Berger,Sam Burns,Joaquin Niemann,Billy Horschel,Charley Hoffman,Normal,"49,300.00",445.59
10,Jon Rahm,Corey Conners,Justin Rose,Sam Burns,Kevin Na,Charl Schwartzel,Normal,"49,100.00",402.21
11,Jon Rahm,Tyrrell Hatton,Abraham Ancer,Sam Burns,Brian Harman,Charley Hoffman,Normal,"49,700.00",440.97
12,Jordan Spieth,Will Zalatoris,Cameron Smith,Paul Casey,Sam Burns,Brendan Steele,3,"49,600.00",445.1
13,Jordan Spieth,Will Zalatoris,Cameron Smith,Sam Burns,Max Homa,Brendan Steele,5,"49,000.00",432.44
14,Jordan Spieth,Will Zalatoris,Paul Casey,Sam Burns,Marc Leishman,Lee Westwood,5,"49,800.00",416.98
15,Jordan Spieth,Louis Oosthuizen,Paul Casey,Brian Harman,Marc Leishman,Lee Westwood,4,"49,000.00",407.4
16,Jordan Spieth,Daniel Berger,Paul Casey,Jason Kokrak,Joaquin Niemann,Matt Jones,5,"49,300.00",442.24
17,Jordan Spieth,Daniel Berger,Paul Casey,Sam Burns,Shane Lowry,Kyoung-Hoon Lee,Normal,"49,400.00",415.25
18,Jordan Spieth,Will Zalatoris,Justin Rose,Cameron Smith,Max Homa,Kevin Na,Normal,"49,800.00",424.92
19,Jordan Spieth,Tony Finau,Cameron Smith,Brian Harman,Adam Scott,Lee Westwood,Normal,"49,900.00",422.31
20,Jordan Spieth,Collin Morikawa,Daniel Berger,Sungjae Im,Tom Hoge,Adam Hadwin,Normal,"49,800.00",404.97
21,Jordan Spieth,Viktor Hovland,Louis Oosthuizen,Branden Grace,Stewart Cink,Carlos Ortiz,Normal,"49,700.00",423.7
22,Jordan Spieth,Justin Thomas,Corey Conners,Kevin Streelman,Francesco Molinari,Kyoung-Hoon Lee,Normal,"49,900.00",393.99
23,Dustin Johnson,Justin Thomas,Tyrrell Hatton,Charley Hoffman,Carlos Ortiz,Matt Jones,4,"50,000.00",436.86
24,Dustin Johnson,Xander Schauffele,Cameron Smith,Paul Casey,Charl Schwartzel,J.T. Poston,4,"49,500.00",418.62
25,Dustin Johnson,Hideki Matsuyama,Louis Oosthuizen,Lee Westwood,Max Homa,Charley Hoffman,3,"49,400.00",409.25
26,Dustin Johnson,Scottie Scheffler,Corey Conners,Louis Oosthuizen,Matt Wallace,Russell Henley,5,"49,600.00",415.25
27,Dustin Johnson,Tony Finau,Cameron Smith,Paul Casey,Marc Leishman,Brendan Steele,4,"49,400.00",429.98
28,Dustin Johnson,Hideki Matsuyama,Daniel Berger,Marc Leishman,Stewart Cink,Adam Hadwin,Normal,"49,200.00",408.8
29,Dustin Johnson,Justin Thomas,Corey Conners,Matt Kuchar,Kevin Na,Zach Johnson,Normal,"49,600.00",401.99
30,Dustin Johnson,Bryson DeChambeau,Paul Casey,Si Woo Kim,Matt Jones,J.T. Poston,Normal,"49,900.00",410.96
31,Dustin Johnson,Viktor Hovland,Abraham Ancer,Phil Mickelson,Charley Hoffman,Robert Macintyre,Normal,"49,700.00",426.37
32,Dustin Johnson,Xander Schauffele,Paul Casey,Sam Burns,Billy Horschel,Matt Jones,Normal,"49,900.00",436.91
33,Dustin Johnson,Rory McIlroy,Shane Lowry,Charley Hoffman,Kevin Streelman,Brendon Todd,Normal,"49,400.00",408.76
34,Bryson DeChambeau,Patrick Cantlay,Tony Finau,Max Homa,Matt Wallace,Matt Jones,3,"49,800.00",418.86
35,Bryson DeChambeau,Tony Finau,Corey Conners,Jason Kokrak,Lee Westwood,Kevin Na,6,"49,400.00",419.76
36,Bryson DeChambeau,Xander Schauffele,Paul Casey,Sam Burns,Charley Hoffman,Jhonattan Vegas,3,"49,300.00",442.09
37,Bryson DeChambeau,Patrick Cantlay,Will Zalatoris,Jason Kokrak,Lee Westwood,Brendan Steele,5,"49,500.00",432.16
38,Bryson DeChambeau,Tony Finau,Hideki Matsuyama,Sam Burns,Russell Henley,Kyoung-Hoon Lee,3,"49,700.00",419.56
39,Bryson DeChambeau,Patrick Cantlay,Tony Finau,Paul Casey,Ian Poulter,Wyndham Clark,Normal,"50,000.00",423.48
40,Bryson DeChambeau,Xander Schauffele,Paul Casey,Tommy Fleetwood,Adam Scott,Bo Hoag,Normal,"49,500.00",414.77
41,Bryson DeChambeau,Patrick Cantlay,Patrick Reed,Brian Harman,Charl Schwartzel,Erik Van Rooyen,Normal,"49,600.00",402.06
42,Bryson DeChambeau,Webb Simpson,Daniel Berger,Marc Leishman,Max Homa,Russell Henley,Normal,"49,200.00",427.43
43,Bryson DeChambeau,Patrick Reed,Daniel Berger,Shane Lowry,Max Homa,Matt Jones,Normal,"49,700.00",422.37
44,Bryson DeChambeau,Justin Thomas,Corey Conners,Brian Harman,Marc Leishman,Bo Hoag,Normal,"49,800.00",413.35
45,Brooks Koepka,Jordan Spieth,Paul Casey,Jason Kokrak,Brendan Steele,Patrick Rodgers,5,"49,500.00",396.37
46,Brooks Koepka,Jordan Spieth,Jason Kokrak,Matt Wallace,Kevin Na,Ian Poulter,6,"49,700.00",385.1
47,Brooks Koepka,Collin Morikawa,Paul Casey,Shane Lowry,Jason Kokrak,Lee Westwood,4,"50,000.00",402.65
