Team,P1,P2,P3,P4,P5,P6,Sample Method,Cost,AvgPointsPerGame
1,Jon Rahm,Justin Thomas,Lee Westwood,Harris English,Matt Jones,Keegan Bradley,Normal fixed Jon Rahm,"49,300.00",415.44
2,Jon Rahm,Patrick Cantlay,Joaquin Niemann,Sungjae Im,Garrick Higgo,Kevin Streelman,Normal fixed Jon Rahm,"49,700.00",434.87
3,Jon Rahm,Justin Thomas,Cameron Smith,Jason Day,Max Homa,Sebastian Munoz,Normal fixed Jon Rahm,"50,000.00",410.28
4,Jon Rahm,Patrick Cantlay,Joaquin Niemann,Sergio Garcia,Kevin Na,Joel Dahmen,Normal fixed Jon Rahm,"49,100.00",417.11
5,Jon Rahm,Viktor Hovland,Will Zalatoris,Max Homa,Billy Horschel,Si Woo Kim,Normal fixed Jon Rahm,"49,700.00",428.22
6,Jon Rahm,Patrick Cantlay,Joaquin Niemann,Abraham Ancer,Zach Johnson,Charley Hoffman,Normal fixed Jon Rahm,"49,200.00",435.03
7,Jon Rahm,Louis Oosthuizen,Cameron Smith,Daniel Berger,Matt Jones,Keegan Bradley,Normal fixed Jon Rahm,"49,400.00",435.05
8,Jon Rahm,Patrick Cantlay,Joaquin Niemann,Lee Westwood,Corey Conners,Matt Jones,Normal fixed Jon Rahm,"49,300.00",422.01
9,Jon Rahm,Paul Casey,Justin Rose,Lee Westwood,Garrick Higgo,Jason Kokrak,Normal fixed Jon Rahm,"50,000.00",414.06
10,Jon Rahm,Hideki Matsuyama,Paul Casey,Phil Mickelson,Brendan Steele,Talor Gooch,Normal fixed Jon Rahm,"49,500.00",406.7
11,Rory McIlroy,Patrick Cantlay,Tony Finau,Max Homa,Kevin Na,Ryan Palmer,Normal fixed Rory McIlroy,"49,100.00",409.89
12,Rory McIlroy,Xander Schauffele,Abraham Ancer,Danny Willett,Cameron Tringale,Lucas Herbert,Normal fixed Rory McIlroy,"49,200.00",403.76
13,Rory McIlroy,Louis Oosthuizen,Scottie Scheffler,Bubba Watson,Harris English,Si Woo Kim,Normal fixed Rory McIlroy,"49,700.00",404.56
14,Rory McIlroy,Collin Morikawa,Hideki Matsuyama,Daniel Berger,Brandt Snedeker,Lucas Glover,Normal fixed Rory McIlroy,"49,800.00",405.16
15,Rory McIlroy,Paul Casey,Webb Simpson,Daniel Berger,Alex Noren,Charley Hoffman,Normal fixed Rory McIlroy,"49,100.00",420.57
16,Rory McIlroy,Jon Rahm,Robert Macintyre,Kevin Kisner,Charley Hoffman,Lanto Griffin,Normal fixed Rory McIlroy,"49,800.00",399.82
17,Rory McIlroy,Jordan Spieth,Abraham Ancer,Phil Mickelson,Jason Kokrak,Kevin Streelman,Normal fixed Rory McIlroy,"49,700.00",402.77
18,Rory McIlroy,Patrick Reed,Cameron Smith,Joaquin Niemann,Phil Mickelson,Harris English,Normal fixed Rory McIlroy,"50,000.00",425.07
19,Rory McIlroy,Jordan Spieth,Sungjae Im,Francesco Molinari,Max Homa,Emiliano Grillo,Normal fixed Rory McIlroy,"49,400.00",385.32
20,Brooks Koepka,Xander Schauffele,Scottie Scheffler,Danny Willett,Charley Hoffman,Lucas Glover,Normal fixed Brooks Koepka,"49,300.00",401.07
21,Brooks Koepka,Viktor Hovland,Paul Casey,Harris English,Max Homa,Brian Harman,Normal fixed Brooks Koepka,"49,900.00",427.18
22,Brooks Koepka,Jordan Spieth,Marc Leishman,Matt Wallace,Russell Henley,Brendan Steele,Normal fixed Brooks Koepka,"49,300.00",383.59
23,Brooks Koepka,Hideki Matsuyama,Will Zalatoris,Shane Lowry,Corey Conners,Charley Hoffman,Normal fixed Brooks Koepka,"49,600.00",417.21
24,Brooks Koepka,Patrick Cantlay,Patrick Reed,Cameron Smith,Brandt Snedeker,Kevin Streelman,Normal fixed Brooks Koepka,"50,000.00",398.83
25,Brooks Koepka,Louis Oosthuizen,Tony Finau,Cameron Smith,Brian Harman,Charley Hoffman,Normal fixed Brooks Koepka,"50,000.00",427.77
26,Brooks Koepka,Collin Morikawa,Patrick Cantlay,Daniel Berger,Kevin Na,Charley Hoffman,Normal fixed Brooks Koepka,"49,800.00",427.05
27,Brooks Koepka,Collin Morikawa,Shane Lowry,Daniel Berger,Brian Harman,Keegan Bradley,Normal fixed Brooks Koepka,"49,100.00",414.28
28,Brooks Koepka,Jordan Spieth,Scottie Scheffler,Garrick Higgo,Kevin Na,Stewart Cink,Normal fixed Brooks Koepka,"49,800.00",412.04
29,Brooks Koepka,Jon Rahm,Francesco Molinari,Brandt Snedeker,Matt Jones,Charley Hoffman,Normal fixed Brooks Koepka,"49,900.00",385.11
30,Dustin Johnson,Jordan Spieth,Tony Finau,Garrick Higgo,Keegan Bradley,Talor Gooch,Normal fixed Dustin Johnson,"49,300.00",416.31
31,Dustin Johnson,Bryson DeChambeau,Scottie Scheffler,Francesco Molinari,Ryan Palmer,Joel Dahmen,Normal fixed Dustin Johnson,"49,500.00",405.24
32,Dustin Johnson,Viktor Hovland,Matt Fitzpatrick,Jason Day,Max Homa,Brian Harman,Normal fixed Dustin Johnson,"49,300.00",409.94
33,Dustin Johnson,Collin Morikawa,Adam Scott,Garrick Higgo,Russell Henley,Si Woo Kim,Normal fixed Dustin Johnson,"49,000.00",412.64
34,Dustin Johnson,Brooks Koepka,Jason Day,Harris English,Branden Grace,Lucas Glover,Normal fixed Dustin Johnson,"49,900.00",391.9
35,Dustin Johnson,Tyrrell Hatton,Patrick Cantlay,Gary Woodland,Alex Noren,Joel Dahmen,Normal fixed Dustin Johnson,"49,500.00",385.38
36,Dustin Johnson,Jordan Spieth,Shane Lowry,Lee Westwood,Branden Grace,Matt Jones,Normal fixed Dustin Johnson,"49,500.00",389.73
37,Dustin Johnson,Viktor Hovland,Paul Casey,Joaquin Niemann,Ian Poulter,Kevin Na,Normal fixed Dustin Johnson,"49,900.00",431.71
38,Dustin Johnson,Jordan Spieth,Collin Morikawa,Russell Henley,Billy Horschel,C.T. Pan,Normal fixed Dustin Johnson,"50,000.00",410.16
39,Dustin Johnson,Jordan Spieth,Sungjae Im,Abraham Ancer,Russell Henley,Harold Varner III,Normal fixed Dustin Johnson,"49,200.00",415.02
40,Xander Schauffele,Paul Casey,Matt Fitzpatrick,Jason Day,Abraham Ancer,Brian Harman,Normal fixed Xander Schauffele,"48,900.00",419.88
41,Xander Schauffele,Jordan Spieth,Scottie Scheffler,Daniel Berger,Harris English,Cameron Tringale,Normal fixed Xander Schauffele,"49,400.00",445.18
42,Xander Schauffele,Collin Morikawa,Patrick Reed,Matt Fitzpatrick,Charley Hoffman,C.T. Pan,Normal fixed Xander Schauffele,"49,100.00",416.68
43,Xander Schauffele,Louis Oosthuizen,Marc Leishman,Joaquin Niemann,Abraham Ancer,Daniel Berger,Normal fixed Xander Schauffele,"49,700.00",444.51
44,Xander Schauffele,Louis Oosthuizen,Webb Simpson,Marc Leishman,Abraham Ancer,Max Homa,Normal fixed Xander Schauffele,"50,000.00",420.11
45,Xander Schauffele,Tyrrell Hatton,Hideki Matsuyama,Phil Mickelson,Kevin Na,Stewart Cink,Normal fixed Xander Schauffele,"49,000.00",411.32
46,Xander Schauffele,Tyrrell Hatton,Patrick Cantlay,Matt Fitzpatrick,Cameron Tringale,Keegan Bradley,Normal fixed Xander Schauffele,"49,400.00",422.03
47,Xander Schauffele,Patrick Cantlay,Paul Casey,Scottie Scheffler,Keegan Bradley,Charley Hoffman,Normal fixed Xander Schauffele,"49,200.00",429.37
