"","Tournament","Player","Position","Field","Fpts","Date","Url","top_count","top_mean","Fpts_std"
"1","Arnold Palmer","Viktor Hovland","G","27.80%",66.5,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-11.78
"2","Arnold Palmer","Rory McIlroy","G","21.11%",73.5,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-4.78
"3","Arnold Palmer","Will Zalatoris","G","19.66%",74.5,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-3.78
"4","Arnold Palmer","Sungjae Im","G","19.05%",72,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-6.28
"5","Arnold Palmer","Sam Burns","G","18.16%",29.5,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-48.78
"6","Arnold Palmer","Tyrrell Hatton","G","17.27%",73.5,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-4.78
"7","Arnold Palmer","Matthew Fitzpatrick","G","16.82%",76,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-2.28
"8","Arnold Palmer","Jason Kokrak","G","16.21%",75.5,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-2.78
"9","Arnold Palmer","Bryson DeChambeau","G","15.94%",107,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,28.72
"10","Arnold Palmer","Cameron Davis","G","15.82%",23.5,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-54.78
"11","Arnold Palmer","Paul Casey","G","14.80%",71,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-7.28
"12","Arnold Palmer","Cameron Tringale","G","14.72%",60,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-18.28
"13","Arnold Palmer","Francesco Molinari","G","14.68%",20,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-58.28
"14","Arnold Palmer","Marc Leishman","G","13.96%",21.5,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-56.78
"15","Arnold Palmer","Patrick Reed","G","13.73%",24,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-54.28
"16","Arnold Palmer","Corey Conners","G","13.54%",99.5,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,21.22
"17","Arnold Palmer","Matthew NeSmith","G","11.83%",23.5,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-54.78
"18","Arnold Palmer","Jordan Spieth","G","11.51%",93.5,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,15.22
"19","Arnold Palmer","Billy Horschel","G","11.40%",22.5,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-55.78
"20","Arnold Palmer","Louis Oosthuizen","G","10.99%",0,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-78.28
"21","Arnold Palmer","Max Homa","G","9.64%",67,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-11.28
"22","Arnold Palmer","Wyndham Clark","G","9.24%",25,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-53.28
"23","Arnold Palmer","Zach Johnson","G","9.11%",56,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-22.28
"24","Arnold Palmer","Rickie Fowler","G","9.08%",50.5,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-27.78
"25","Arnold Palmer","Lanto Griffin","G","8.90%",71,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-7.28
"26","Arnold Palmer","Sebastian Munoz","G","8.86%",58,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-20.28
"27","Arnold Palmer","Chris Kirk","G","8.28%",74.5,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-3.78
"28","Arnold Palmer","Justin Rose","G","8.25%",38,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-40.28
"29","Arnold Palmer","Matt Jones","G","8.25%",25,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-53.28
"30","Arnold Palmer","Luke List","G","7.98%",59,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-19.28
"31","Arnold Palmer","Brendon Todd","G","7.71%",53,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-25.28
"32","Arnold Palmer","Harris English","G","7.66%",60.5,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-17.78
"33","Arnold Palmer","Kevin Na","G","7.11%",48.5,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-29.78
"34","Arnold Palmer","Tommy Fleetwood","G","6.94%",68.5,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-9.78
"35","Arnold Palmer","Hideki Matsuyama","G","6.66%",72,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-6.28
"36","Arnold Palmer","Christiaan Bezuidenhout","G","6.56%",74,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-4.28
"37","Arnold Palmer","Talor Gooch","G","6.04%",54,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-24.28
"38","Arnold Palmer","Henrik Norlander","G","5.61%",42,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-36.28
"39","Arnold Palmer","Patton Kizzire","G","5.53%",53,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-25.28
"40","Arnold Palmer","Jason Day","G","5.50%",58,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-20.28
"41","Arnold Palmer","Emiliano Grillo","G","5.50%",71,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-7.28
"42","Arnold Palmer","Charley Hoffman","G","5.26%",68.5,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-9.78
"43","Arnold Palmer","Kyle Stanley","G","5.04%",16.5,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-61.78
"44","Arnold Palmer","Kevin Kisner","G","4.94%",64,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-14.28
"45","Arnold Palmer","Ian Poulter","G","4.36%",59,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-19.28
"46","Arnold Palmer","Byeong Hun An","G","3.95%",64.5,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,-13.78
"47","Arnold Palmer","Keegan Bradley","G","3.77%",79.5,"2021-03-04","https://rotogrinders.com/resultsdb/site/draftkings/date/2021-03-04/sport/golf/slate/6040ccd2ef53fb60a6a6f57b/contest/6040ccd486799860b05e8db3",25,78.28,1.22
